image,accuracy,precision,recall,f1_score,iou,dice
image-0-0.jpg,0.7065429687498922,0.5993181024992351,0.8382711877132522,0.6989354992080546,0.5372028106649973,0.6989355040700221
image-0-1.jpg,0.6058349609374076,0.732726413878831,0.7182908861290848,0.7254368386719534,0.5691650822241288,0.7254368436715355
image-1-0.jpg,0.688293457031145,0.4700181872470833,0.950381469893545,0.6289730785023576,0.45876056487283506,0.6289730829306134
image-1-1.jpg,0.668975830078023,0.418025514730499,0.8364860728491971,0.5574639913131062,0.3864471972395536,0.5574639957568934
image-10-0.jpg,0.7056732177733298,0.713553895410632,0.6409330563985809,0.675296687211772,0.5097720283628969,0.6752966921975129
image-100-0.jpg,0.6003570556639709,0.3662850849379681,0.6037517878751217,0.45595230206499293,0.2952967766237165,0.4559523067654482
image-100-1.jpg,0.4898223876952378,0.23519524774354506,0.979104763729532,0.37928153405267506,0.23402061855664744,0.3792815371762036
image-101-0.jpg,0.6080932617186572,0.9970262986708184,0.557109476417039,0.7148060093026138,0.5561853087037453,0.7148060139020725
image-101-1.jpg,0.8987121582029879,0.9985753717386405,0.8362122530133377,0.9102099290287355,0.8352158478760681,0.9102099339897048
image-102-0.jpg,0.6462554931639639,0.25320669734643647,0.9625310173685329,0.40094058948204786,0.25073527035317195,0.4009405927800716
image-102-1.jpg,0.7939910888670664,0.6952249134946173,0.9097659928997646,0.7881564652527493,0.6503780816240289,0.788156470163533
image-103-0.jpg,0.8242187499998743,0.8660578822314529,0.8155816147726607,0.8400621930383696,0.7242303825344176,0.8400621980339813
image-103-1.jpg,0.8547058105467447,0.8906873853456106,0.8578703944289202,0.8739709296972443,0.7761530866517523,0.8739709346955987
image-104-0.jpg,0.7258300781248893,0.7735200196510014,0.7825935682686062,0.7780303354654619,0.6367018480325455,0.7780303404653879
image-104-1.jpg,0.7691192626951951,0.989450222882125,0.5724888952570362,0.7253154169771822,0.5690156089778486,0.7253154216209994
image-105-0.jpg,0.8248138427733117,0.7595317113960438,0.9272907095453907,0.8350691651516406,0.7168401321953543,0.8350691701023064
image-105-1.jpg,0.9903717041014114,0.9873079492311374,0.9710268707700078,0.979099726707822,0.959055220296568,0.9790997317078006
image-106-0.jpg,0.6568145751952124,0.9039130434779036,0.5327168114792955,0.6703601061369284,0.5041666666665555,0.6703601108032259
image-106-1.jpg,0.4940032958983621,0.31984411855187783,0.9999999999993586,0.4846695327618096,0.31984411855187783,0.4846695364340573
image-107-0.jpg,0.677963256835834,0.5415007907507932,0.8223528924589745,0.6530095475193269,0.48479152426509015,0.6530095523074079
image-107-1.jpg,0.6203460693358429,0.5748623192134482,0.996994763151334,0.7292453297094396,0.5738679180652576,0.7292453343489059
image-108-0.jpg,0.9575805664061039,0.9739927283516457,0.9266200762385547,0.9497160171421832,0.9042468914680176,0.9497160221392488
image-108-1.jpg,0.6623382568358365,0.9984771454675168,0.6588850066478064,0.793889996606874,0.6582235470368267,0.7938900013970294
image-109-0.jpg,0.8495025634764329,0.9042196918894561,0.12195121951208494,0.2149168171363763,0.12039596896448729,0.2149168192309043
image-109-1.jpg,0.8071136474608144,0.8863036995043783,0.8174956806399888,0.8505102775258992,0.7399024711424169,0.8505102825178451
image-11-0.jpg,0.6414947509764647,0.6575390659354841,0.6549851060099717,0.6562595961761082,0.48838272760915263,0.6562596011761853
image-11-1.jpg,0.7966003417967534,0.854789703999378,0.8864316429857745,0.8703231656145527,0.7704178292169112,0.8703231706129861
image-110-0.jpg,0.7588958740233217,0.983400376800762,0.5551626997813743,0.7096845269614968,0.5500085436006864,0.709684531574272
